행정구역,year,age,gender,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주
2017년_계_총인구수,2017,총인구수,계,9857426,3470653,2475231,2948542,1463770,1502227,1165132,12873895,1550142,1594432,2116770,1854607,1896424,2691706,3380404,657083
2017년_계_연령구간인구수,2017,연령구간인구수,계,9857426,3470653,2475231,2948542,1463770,1502227,1165132,12873895,1550142,1594432,2116770,1854607,1896424,2691706,3380404,657083
2017년_계_0~9세,2017,0~9세,계,728462,258732,201043,259925,135873,135218,112441,1226500,116726,137206,193878,150817,151229,215451,307415,64110
2017년_계_10~19세,2017,10~19세,계,894656,310044,261756,301563,179807,168005,126894,1410636,156946,165826,218457,199956,191645,254396,356902,74873
2017년_계_20~29세,2017,20~29세,계,1447115,451791,332212,409811,203610,213973,156966,1721524,185914,199663,248359,219942,207412,305390,397268,79751
2017년_계_30~39세,2017,30~39세,계,1579189,467624,324015,439665,205522,215284,171065,1934989,180188,207682,292363,215957,212235,329087,454065,87312
2017년_계_40~49세,2017,40~49세,계,1647989,545052,421146,506584,253204,258705,201695,2313960,242216,255596,336528,291298,281291,414254,566645,114469
2017년_계_50~59세,2017,50~59세,계,1553543,599544,424677,507101,225935,239297,207642,2077756,270839,267036,330207,300220,316532,461486,569852,104866
2017년_계_60~69세,2017,60~69세,계,1109052,472617,282918,293572,138675,152044,116984,1192377,194407,182281,237184,224916,237209,352151,383935,65842
2017년_계_70~79세,2017,70~79세,계,635309,259903,157294,156769,83744,81244,50444,677314,135621,116357,161824,160990,192849,230114,225324,42296
2017년_계_80~89세,2017,80~89세,계,223113,92153,62457,63429,32556,33602,18430,276699,57862,55312,86297,79365,93150,113788,105518,20100
2017년_계_90~99세,2017,90~99세,계,33479,11579,7098,9332,4499,4541,2418,38771,8726,6996,10919,10440,12133,14776,12827,3222
2017년_계_백세 이상,2017,백세 이상,계,5519,1614,615,791,345,314,153,3369,697,477,754,706,739,813,653,242
2017년_남_총인구수,2017,총인구수,남,4830206,1709508,1227814,1479597,725295,750969,599480,6475323,780635,805091,1076270,922307,948290,1353164,1701413,330823
2017년_남_연령구간인구수,2017,연령구간인구수,남,4830206,1709508,1227814,1479597,725295,750969,599480,6475323,780635,805091,1076270,922307,948290,1353164,1701413,330823
2017년_남_0~9세,2017,0~9세,남,373353,132924,103263,133221,69981,69670,58121,629189,59835,70270,99537,77618,77420,111557,158371,33018
2017년_남_10~19세,2017,10~19세,남,461597,161776,138062,155803,93536,87333,67173,728790,82192,86472,113825,103734,99802,134494,187675,39263
2017년_남_20~29세,2017,20~29세,남,720019,237994,180803,213945,106689,113198,87948,901746,104548,109404,134845,117800,112344,170532,218770,42058
2017년_남_30~39세,2017,30~39세,남,790867,239058,165043,226364,103442,109794,89790,986741,93578,108776,156432,111510,111632,173565,236383,44512
2017년_남_40~49세,2017,40~49세,남,818309,272484,207430,256938,125703,128829,101208,1171811,125599,131777,179060,151368,151476,216172,291424,59826
2017년_남_50~59세,2017,50~59세,남,759316,290091,208665,255674,111569,119045,107075,1062080,137795,137393,172342,153492,167252,236601,291048,54565
2017년_남_60~69세,2017,60~69세,남,525418,225566,134676,145663,66055,74426,59321,588623,95958,90757,117604,110224,117961,173742,189827,32384
2017년_남_70~79세,2017,70~79세,남,290349,115940,67223,69162,36676,36114,22967,300552,59465,50490,70201,68402,79824,97025,94008,18676
2017년_남_80~89세,2017,80~89세,남,81165,30902,20941,20515,10704,11398,5475,95624,19281,18003,29714,25694,28153,36155,31356,6086
2017년_남_90~99세,2017,90~99세,남,8485,2446,1571,2120,902,1083,374,9338,2184,1615,2545,2325,2330,3140,2434,408
2017년_남_백세 이상,2017,백세 이상,남,1328,327,137,192,38,79,28,829,200,134,165,140,96,181,117,27
2017년_여_총인구수,2017,총인구수,여,5027220,1761145,1247417,1468945,738475,751258,565652,6398572,769507,789341,1040500,932300,948134,1338542,1678991,326260
2017년_여_연령구간인구수,2017,연령구간인구수,여,5027220,1761145,1247417,1468945,738475,751258,565652,6398572,769507,789341,1040500,932300,948134,1338542,1678991,326260
2017년_여_0~9세,2017,0~9세,여,355109,125808,97780,126704,65892,65548,54320,597311,56891,66936,94341,73199,73809,103894,149044,31092
2017년_여_10~19세,2017,10~19세,여,433059,148268,123694,145760,86271,80672,59721,681846,74754,79354,104632,96222,91843,119902,169227,35610
2017년_여_20~29세,2017,20~29세,여,727096,213797,151409,195866,96921,100775,69018,819778,81366,90259,113514,102142,95068,134858,178498,37693
2017년_여_30~39세,2017,30~39세,여,788322,228566,158972,213301,102080,105490,81275,948248,86610,98906,135931,104447,100603,155522,217682,42800
2017년_여_40~49세,2017,40~49세,여,829680,272568,213716,249646,127501,129876,100487,1142149,116617,123819,157468,139930,129815,198082,275221,54643
2017년_여_50~59세,2017,50~59세,여,794227,309453,216012,251427,114366,120252,100567,1015676,133044,129643,157865,146728,149280,224885,278804,50301
